File Path,Recipient TransferEvents,Blocker TransferEevents,final Donors,final Reciepients,final Transconjugants,final Blockers,final BlockerTransconjugants
C:/Users/helen/CellModeller/Examples/Data_Blocker_Transfer_Sec_Recipient_Transfer_No_Growth_Dep/Sim_number_50rep_3_BlockerPercent_45_24-08-20-01-07-53/step-00700.pickle,3259,2534,12123,9408,6968,13742,5638
C:/Users/helen/CellModeller/Examples/Data_Blocker_Transfer_Sec_Recipient_Transfer_No_Growth_Dep/Sim_number_51rep_3_BlockerPercent_50_24-08-20-01-21-45/step-00700.pickle,2471,2495,8722,7575,5424,21768,4754
C:/Users/helen/CellModeller/Examples/Data_Blocker_Transfer_Sec_Recipient_Transfer_No_Growth_Dep/Sim_number_52rep_3_BlockerPercent_55_24-08-20-01-35-28/step-00700.pickle,1863,2551,8424,13094,2662,18035,5738
C:/Users/helen/CellModeller/Examples/Data_Blocker_Transfer_Sec_Recipient_Transfer_No_Growth_Dep/Sim_number_53rep_3_BlockerPercent_60_24-08-20-01-49-04/step-00700.pickle,2243,2684,11404,6354,5121,20367,4589
C:/Users/helen/CellModeller/Examples/Data_Blocker_Transfer_Sec_Recipient_Transfer_No_Growth_Dep/Sim_number_54rep_3_BlockerPercent_65_24-08-20-02-02-50/step-00700.pickle,1058,2580,10839,5599,1285,25475,4762
C:/Users/helen/CellModeller/Examples/Data_Blocker_Transfer_Sec_Recipient_Transfer_No_Growth_Dep/Sim_number_55rep_3_BlockerPercent_70_24-08-20-02-16-26/step-00700.pickle,711,2109,6330,6161,1683,28669,5321
C:/Users/helen/CellModeller/Examples/Data_Blocker_Transfer_Sec_Recipient_Transfer_No_Growth_Dep/Sim_number_56rep_3_BlockerPercent_75_24-08-20-02-29-54/step-00700.pickle,502,1858,4876,7706,592,31425,3581
C:/Users/helen/CellModeller/Examples/Data_Blocker_Transfer_Sec_Recipient_Transfer_No_Growth_Dep/Sim_number_57rep_3_BlockerPercent_80_24-08-20-02-43-17/step-00700.pickle,375,1452,2659,4864,444,37995,2311
C:/Users/helen/CellModeller/Examples/Data_Blocker_Transfer_Sec_Recipient_Transfer_No_Growth_Dep/Sim_number_58rep_3_BlockerPercent_85_24-08-20-02-56-36/step-00700.pickle,306,1210,3045,2564,416,38748,2781
C:/Users/helen/CellModeller/Examples/Data_Blocker_Transfer_Sec_Recipient_Transfer_No_Growth_Dep/Sim_number_59rep_3_BlockerPercent_90_24-08-20-03-10-03/step-00700.pickle,122,908,2338,3867,407,39628,1192
C:/Users/helen/CellModeller/Examples/Data_Blocker_Transfer_Sec_Recipient_Transfer_No_Growth_Dep/Sim_number_5rep_1_BlockerPercent_20_24-08-19-13-51-33/step-00700.pickle,5000,1658,21779,6421,9832,6414,3547
C:/Users/helen/CellModeller/Examples/Data_Blocker_Transfer_Sec_Recipient_Transfer_No_Growth_Dep/Sim_number_60rep_3_BlockerPercent_95_24-08-20-03-23-28/step-00700.pickle,21,435,618,1283,22,45381,566
C:/Users/helen/CellModeller/Examples/Data_Blocker_Transfer_Sec_Recipient_Transfer_No_Growth_Dep/Sim_number_61rep_4_BlockerPercent_0_24-08-20-03-36-51/step-00700.pickle,6914,0,28296,4722,14643,0,0
C:/Users/helen/CellModeller/Examples/Data_Blocker_Transfer_Sec_Recipient_Transfer_No_Growth_Dep/Sim_number_62rep_4_BlockerPercent_5_24-08-20-03-51-21/step-00700.pickle,7565,483,22394,9543,14037,518,1354
C:/Users/helen/CellModeller/Examples/Data_Blocker_Transfer_Sec_Recipient_Transfer_No_Growth_Dep/Sim_number_63rep_4_BlockerPercent_10_24-08-20-04-05-42/step-00700.pickle,6956,907,19517,9779,14204,2962,1751
C:/Users/helen/CellModeller/Examples/Data_Blocker_Transfer_Sec_Recipient_Transfer_No_Growth_Dep/Sim_number_64rep_4_BlockerPercent_15_24-08-20-04-19-52/step-00700.pickle,5328,1500,17940,7204,12342,6838,3225
C:/Users/helen/CellModeller/Examples/Data_Blocker_Transfer_Sec_Recipient_Transfer_No_Growth_Dep/Sim_number_65rep_4_BlockerPercent_20_24-08-20-04-34-02/step-00700.pickle,5054,1658,18805,9610,10818,5797,3087
C:/Users/helen/CellModeller/Examples/Data_Blocker_Transfer_Sec_Recipient_Transfer_No_Growth_Dep/Sim_number_66rep_4_BlockerPercent_25_24-08-20-04-48-07/step-00700.pickle,4434,2125,19656,4859,11369,7887,4406
C:/Users/helen/CellModeller/Examples/Data_Blocker_Transfer_Sec_Recipient_Transfer_No_Growth_Dep/Sim_number_67rep_4_BlockerPercent_30_24-08-20-05-02-06/step-00700.pickle,4594,2080,15372,11550,10180,7873,3364
C:/Users/helen/CellModeller/Examples/Data_Blocker_Transfer_Sec_Recipient_Transfer_No_Growth_Dep/Sim_number_68rep_4_BlockerPercent_35_24-08-20-05-16-01/step-00700.pickle,3925,2369,17478,8071,5665,11748,4623
C:/Users/helen/CellModeller/Examples/Data_Blocker_Transfer_Sec_Recipient_Transfer_No_Growth_Dep/Sim_number_69rep_4_BlockerPercent_40_24-08-20-05-29-58/step-00700.pickle,2818,2541,14759,6135,5900,14256,6955
C:/Users/helen/CellModeller/Examples/Data_Blocker_Transfer_Sec_Recipient_Transfer_No_Growth_Dep/Sim_number_6rep_1_BlockerPercent_25_24-08-19-14-05-54/step-00700.pickle,4292,1845,18000,8514,8645,6666,6078
C:/Users/helen/CellModeller/Examples/Data_Blocker_Transfer_Sec_Recipient_Transfer_No_Growth_Dep/Sim_number_70rep_4_BlockerPercent_45_24-08-20-05-43-50/step-00700.pickle,2956,2697,13662,6780,4410,17401,5746
C:/Users/helen/CellModeller/Examples/Data_Blocker_Transfer_Sec_Recipient_Transfer_No_Growth_Dep/Sim_number_71rep_4_BlockerPercent_50_24-08-20-05-57-38/step-00700.pickle,2071,2600,14172,9082,3316,16233,4895
C:/Users/helen/CellModeller/Examples/Data_Blocker_Transfer_Sec_Recipient_Transfer_No_Growth_Dep/Sim_number_72rep_4_BlockerPercent_55_24-08-20-06-11-27/step-00700.pickle,1817,2844,15167,4228,3655,18092,6774
C:/Users/helen/CellModeller/Examples/Data_Blocker_Transfer_Sec_Recipient_Transfer_No_Growth_Dep/Sim_number_73rep_4_BlockerPercent_60_24-08-20-06-25-15/step-00700.pickle,1325,2629,9802,4043,2194,24253,7230
C:/Users/helen/CellModeller/Examples/Data_Blocker_Transfer_Sec_Recipient_Transfer_No_Growth_Dep/Sim_number_74rep_4_BlockerPercent_65_24-08-20-06-39-01/step-00700.pickle,1153,2345,5539,6709,2129,28788,4440
C:/Users/helen/CellModeller/Examples/Data_Blocker_Transfer_Sec_Recipient_Transfer_No_Growth_Dep/Sim_number_75rep_4_BlockerPercent_70_24-08-20-06-52-40/step-00700.pickle,811,2208,6345,2884,1110,30660,6670
C:/Users/helen/CellModeller/Examples/Data_Blocker_Transfer_Sec_Recipient_Transfer_No_Growth_Dep/Sim_number_76rep_4_BlockerPercent_75_24-08-20-07-06-16/step-00700.pickle,727,2124,10094,6837,1010,23376,6716
