File Path,Number of Transfer Events,Number of Donors,Number of Reciepients,Number of Transconjugants,Number of Blockers
C:/Users/helen/CellModeller/Examples/Data_No_Blockertransfer_Growth_Dep/Sim_number_51rep_3_BlockerPercent_50_24-07-03-05-21-25/step-00700.pickle,509,13294,6207,2583,26117
C:/Users/helen/CellModeller/Examples/Data_No_Blockertransfer_Growth_Dep/Sim_number_52rep_3_BlockerPercent_55_24-07-03-06-55-57/step-00700.pickle,420,5853,8564,2610,30984
C:/Users/helen/CellModeller/Examples/Data_No_Blockertransfer_Growth_Dep/Sim_number_53rep_3_BlockerPercent_60_24-07-03-07-45-53/step-00700.pickle,358,8324,3883,4072,31346
C:/Users/helen/CellModeller/Examples/Data_No_Blockertransfer_Growth_Dep/Sim_number_54rep_3_BlockerPercent_65_24-07-03-08-52-54/step-00700.pickle,266,6963,5584,2106,33023
C:/Users/helen/CellModeller/Examples/Data_No_Blockertransfer_Growth_Dep/Sim_number_55rep_3_BlockerPercent_70_24-07-03-09-30-36/step-00700.pickle,249,6653,5503,2762,33314
C:/Users/helen/CellModeller/Examples/Data_No_Blockertransfer_Growth_Dep/Sim_number_56rep_3_BlockerPercent_75_24-07-03-19-23-38/step-00700.pickle,159,6514,4685,1006,35695
C:/Users/helen/CellModeller/Examples/Data_No_Blockertransfer_Growth_Dep/Sim_number_57rep_3_BlockerPercent_80_24-07-03-19-36-53/step-00700.pickle,102,5505,3295,1110,38137
C:/Users/helen/CellModeller/Examples/Data_No_Blockertransfer_Growth_Dep/Sim_number_58rep_3_BlockerPercent_85_24-07-03-19-52-12/step-00700.pickle,41,2484,2216,133,43444
C:/Users/helen/CellModeller/Examples/Data_No_Blockertransfer_Growth_Dep/Sim_number_59rep_3_BlockerPercent_90_24-07-03-20-08-55/step-00700.pickle,22,3453,3310,149,41151
C:/Users/helen/CellModeller/Examples/Data_No_Blockertransfer_Growth_Dep/Sim_number_5rep_1_BlockerPercent_20_24-07-01-16-59-31/step-00700.pickle,965,17929,7146,11873,10938
C:/Users/helen/CellModeller/Examples/Data_No_Blockertransfer_Growth_Dep/Sim_number_60rep_3_BlockerPercent_95_24-07-03-20-22-09/step-00700.pickle,8,1973,1574,26,44316
C:/Users/helen/CellModeller/Examples/Data_No_Blockertransfer_Growth_Dep/Sim_number_61rep_4_BlockerPercent_0_24-07-03-20-35-58/step-00700.pickle,1288,23760,4849,19317,0
C:/Users/helen/CellModeller/Examples/Data_No_Blockertransfer_Growth_Dep/Sim_number_62rep_4_BlockerPercent_5_24-07-03-21-18-30/step-00700.pickle,1158,17145,9099,20166,1570
C:/Users/helen/CellModeller/Examples/Data_No_Blockertransfer_Growth_Dep/Sim_number_63rep_4_BlockerPercent_10_24-07-03-21-32-11/step-00700.pickle,1150,20775,7863,15101,3786
C:/Users/helen/CellModeller/Examples/Data_No_Blockertransfer_Growth_Dep/Sim_number_64rep_4_BlockerPercent_15_24-07-03-21-52-05/step-00700.pickle,1063,14166,13336,15349,5502
C:/Users/helen/CellModeller/Examples/Data_No_Blockertransfer_Growth_Dep/Sim_number_65rep_4_BlockerPercent_20_24-07-03-22-05-39/step-00700.pickle,999,19636,5846,14346,8634
C:/Users/helen/CellModeller/Examples/Data_No_Blockertransfer_Growth_Dep/Sim_number_66rep_4_BlockerPercent_25_24-07-03-23-30-09/step-00700.pickle,926,20456,3440,12671,11016
