File Path,Recipient TransferEvents,Blocker TransferEevents,final Donors,final Reciepients,final Transconjugants,final Blockers,final BlockerTransconjugants
C:/Users/helen/CellModeller/Examples/Data_Blocker_Transfer_Sec_Recipient_Transfer_Growth_Dep/Sim_number_75rep_4_BlockerPercent_70_24-08-21-10-17-58/step-00700.pickle,9,56,6061,4114,24,36974,601
C:/Users/helen/CellModeller/Examples/Data_Blocker_Transfer_Sec_Recipient_Transfer_Growth_Dep/Sim_number_76rep_4_BlockerPercent_75_24-08-21-10-31-24/step-00700.pickle,10,42,3107,6426,22,37838,103
C:/Users/helen/CellModeller/Examples/Data_Blocker_Transfer_Sec_Recipient_Transfer_Growth_Dep/Sim_number_77rep_4_BlockerPercent_80_24-08-21-10-44-47/step-00700.pickle,6,47,4466,5121,494,37861,134
C:/Users/helen/CellModeller/Examples/Data_Blocker_Transfer_Sec_Recipient_Transfer_Growth_Dep/Sim_number_78rep_4_BlockerPercent_85_24-08-21-10-58-03/step-00700.pickle,2,34,1936,3203,2,42220,745
C:/Users/helen/CellModeller/Examples/Data_Blocker_Transfer_Sec_Recipient_Transfer_Growth_Dep/Sim_number_79rep_4_BlockerPercent_90_24-08-21-11-11-14/step-00700.pickle,3,21,2091,1036,4,44215,127
C:/Users/helen/CellModeller/Examples/Data_Blocker_Transfer_Sec_Recipient_Transfer_Growth_Dep/Sim_number_7rep_1_BlockerPercent_30_24-08-20-14-45-39/step-00700.pickle,76,52,17766,17289,223,12373,235
C:/Users/helen/CellModeller/Examples/Data_Blocker_Transfer_Sec_Recipient_Transfer_Growth_Dep/Sim_number_80rep_4_BlockerPercent_95_24-08-21-11-24-34/step-00700.pickle,0,8,325,1051,0,46564,17
C:/Users/helen/CellModeller/Examples/Data_Blocker_Transfer_Sec_Recipient_Transfer_Growth_Dep/Sim_number_81rep_5_BlockerPercent_0_24-08-21-11-37-47/step-00700.pickle,126,0,22951,24409,300,0,0
C:/Users/helen/CellModeller/Examples/Data_Blocker_Transfer_Sec_Recipient_Transfer_Growth_Dep/Sim_number_82rep_5_BlockerPercent_5_24-08-21-11-51-44/step-00700.pickle,110,14,16850,24767,403,6013,57
C:/Users/helen/CellModeller/Examples/Data_Blocker_Transfer_Sec_Recipient_Transfer_Growth_Dep/Sim_number_83rep_5_BlockerPercent_10_24-08-21-12-05-30/step-00700.pickle,114,24,22282,19942,313,5512,76
