File Path,Recipient TransferEvents,Blocker TransferEvents,final Donors,final Reciepients,final Transconjugants,final Blockers,final BlockerTransconjugants
C:/Users/helen/CellModeller/Examples/Data_Blockertransfer_Growth_Dep/Sim_number_73rep_4_BlockerPercent_60_24-08-14-14-15-33/step-00700.pickle,311,914,11440,9548,1530,19179,6434
C:/Users/helen/CellModeller/Examples/Data_Blockertransfer_Growth_Dep/Sim_number_74rep_4_BlockerPercent_65_24-08-14-15-54-48/step-00700.pickle,275,966,13263,3277,3258,20626,7540
C:/Users/helen/CellModeller/Examples/Data_Blockertransfer_Growth_Dep/Sim_number_75rep_4_BlockerPercent_70_24-08-14-16-11-06/step-00700.pickle,166,834,4901,6508,626,24751,11414
C:/Users/helen/CellModeller/Examples/Data_Blockertransfer_Growth_Dep/Sim_number_76rep_4_BlockerPercent_75_24-08-14-16-45-52/step-00700.pickle,98,835,9419,3188,891,27144,7291
C:/Users/helen/CellModeller/Examples/Data_Blockertransfer_Growth_Dep/Sim_number_77rep_4_BlockerPercent_80_24-08-14-17-07-36/step-00700.pickle,63,637,5588,3595,444,33970,3969
C:/Users/helen/CellModeller/Examples/Data_Blockertransfer_Growth_Dep/Sim_number_78rep_4_BlockerPercent_85_24-08-14-18-13-03/step-00700.pickle,51,534,5698,2489,544,31774,7313
C:/Users/helen/CellModeller/Examples/Data_Blockertransfer_Growth_Dep/Sim_number_79rep_4_BlockerPercent_90_24-08-14-18-45-20/step-00700.pickle,21,398,1874,3766,41,39321,2935
C:/Users/helen/CellModeller/Examples/Data_Blockertransfer_Growth_Dep/Sim_number_7rep_1_BlockerPercent_30_24-08-12-21-28-00/step-00700.pickle,825,735,16349,6174,9226,9474,6516
C:/Users/helen/CellModeller/Examples/Data_Blockertransfer_Growth_Dep/Sim_number_80rep_4_BlockerPercent_95_24-08-14-18-58-52/step-00700.pickle,5,224,1392,2331,9,43079,1200
C:/Users/helen/CellModeller/Examples/Data_Blockertransfer_Growth_Dep/Sim_number_81rep_5_BlockerPercent_0_24-08-14-21-06-51/step-00700.pickle,1503,0,18251,11854,17619,0,0
C:/Users/helen/CellModeller/Examples/Data_Blockertransfer_Growth_Dep/Sim_number_82rep_5_BlockerPercent_5_24-08-14-21-20-41/step-00700.pickle,1436,121,27379,6863,12102,674,1073
C:/Users/helen/CellModeller/Examples/Data_Blockertransfer_Growth_Dep/Sim_number_83rep_5_BlockerPercent_10_24-08-14-21-34-32/step-00700.pickle,1286,261,21195,11106,8878,2650,3767
C:/Users/helen/CellModeller/Examples/Data_Blockertransfer_Growth_Dep/Sim_number_84rep_5_BlockerPercent_15_24-08-14-21-48-20/step-00700.pickle,1145,480,22220,8700,8671,3833,4689
C:/Users/helen/CellModeller/Examples/Data_Blockertransfer_Growth_Dep/Sim_number_85rep_5_BlockerPercent_20_24-08-14-22-01-59/step-00700.pickle,1060,583,20505,10528,6717,5248,4900
C:/Users/helen/CellModeller/Examples/Data_Blockertransfer_Growth_Dep/Sim_number_86rep_5_BlockerPercent_25_24-08-14-22-15-33/step-00700.pickle,962,564,21869,9710,6680,3319,6293
C:/Users/helen/CellModeller/Examples/Data_Blockertransfer_Growth_Dep/Sim_number_87rep_5_BlockerPercent_30_24-08-14-22-29-30/step-00700.pickle,845,648,16322,7422,9523,8417,6235
C:/Users/helen/CellModeller/Examples/Data_Blockertransfer_Growth_Dep/Sim_number_88rep_5_BlockerPercent_35_24-08-14-22-43-17/step-00700.pickle,734,770,14278,12076,6282,10496,4635
C:/Users/helen/CellModeller/Examples/Data_Blockertransfer_Growth_Dep/Sim_number_89rep_5_BlockerPercent_40_24-08-14-22-56-54/step-00700.pickle,646,887,11959,10059,6776,12884,6064
C:/Users/helen/CellModeller/Examples/Data_Blockertransfer_Growth_Dep/Sim_number_8rep_1_BlockerPercent_35_24-08-12-21-41-45/step-00700.pickle,648,802,10704,8151,7948,14650,6269
C:/Users/helen/CellModeller/Examples/Data_Blockertransfer_Growth_Dep/Sim_number_90rep_5_BlockerPercent_45_24-08-14-23-10-26/step-00700.pickle,585,929,12767,8155,3693,15391,7769
C:/Users/helen/CellModeller/Examples/Data_Blockertransfer_Growth_Dep/Sim_number_91rep_5_BlockerPercent_50_24-08-14-23-23-57/step-00700.pickle,457,877,11347,10334,2287,16738,7098
C:/Users/helen/CellModeller/Examples/Data_Blockertransfer_Growth_Dep/Sim_number_92rep_5_BlockerPercent_55_24-08-14-23-37-24/step-00700.pickle,366,942,13908,4304,2741,18573,7954
C:/Users/helen/CellModeller/Examples/Data_Blockertransfer_Growth_Dep/Sim_number_93rep_5_BlockerPercent_60_24-08-14-23-50-55/step-00700.pickle,257,1003,8439,3717,3056,26907,5951
C:/Users/helen/CellModeller/Examples/Data_Blockertransfer_Growth_Dep/Sim_number_94rep_5_BlockerPercent_65_24-08-15-00-04-14/step-00700.pickle,261,956,8544,5539,2716,21458,9316
C:/Users/helen/CellModeller/Examples/Data_Blockertransfer_Growth_Dep/Sim_number_95rep_5_BlockerPercent_70_24-08-15-00-17-41/step-00700.pickle,236,834,12039,6101,1884,18545,9213
C:/Users/helen/CellModeller/Examples/Data_Blockertransfer_Growth_Dep/Sim_number_96rep_5_BlockerPercent_75_24-08-15-00-31-07/step-00700.pickle,98,783,6889,3022,1815,29028,6397
C:/Users/helen/CellModeller/Examples/Data_Blockertransfer_Growth_Dep/Sim_number_97rep_5_BlockerPercent_80_24-08-15-00-44-29/step-00700.pickle,65,713,5980,3207,199,33825,4264
C:/Users/helen/CellModeller/Examples/Data_Blockertransfer_Growth_Dep/Sim_number_98rep_5_BlockerPercent_85_24-08-15-00-57-49/step-00700.pickle,46,580,4723,1663,1904,31990,7403
C:/Users/helen/CellModeller/Examples/Data_Blockertransfer_Growth_Dep/Sim_number_99rep_5_BlockerPercent_90_24-08-15-01-11-11/step-00700.pickle,19,401,1891,2432,106,40640,2527
C:/Users/helen/CellModeller/Examples/Data_Blockertransfer_Growth_Dep/Sim_number_9rep_1_BlockerPercent_40_24-08-12-22-30-36/step-00700.pickle,630,888,18044,8469,3879,9937,7586
