File Path,Recipient TransferEvents,final Donors,final Reciepients,final Transconjugants,final Blockers,final BlockerTransconjugants
C:/Users/helen/CellModeller/Examples/Data_No_Blocker_Transfer_Sec_Recipient_Transfer_Growth_Dep/Sim_number_75rep_4_BlockerPercent_70_24-08-18-23-48-09/step-00700.pickle,254,7600,5260,724,34558,0
C:/Users/helen/CellModeller/Examples/Data_No_Blocker_Transfer_Sec_Recipient_Transfer_Growth_Dep/Sim_number_76rep_4_BlockerPercent_75_24-08-19-00-01-32/step-00700.pickle,236,4006,4436,2451,37103,0
C:/Users/helen/CellModeller/Examples/Data_No_Blocker_Transfer_Sec_Recipient_Transfer_Growth_Dep/Sim_number_77rep_4_BlockerPercent_80_24-08-19-00-14-58/step-00700.pickle,135,5222,2671,969,38977,0
C:/Users/helen/CellModeller/Examples/Data_No_Blocker_Transfer_Sec_Recipient_Transfer_Growth_Dep/Sim_number_78rep_4_BlockerPercent_85_24-08-19-00-28-24/step-00700.pickle,118,3578,1718,880,41819,0
C:/Users/helen/CellModeller/Examples/Data_No_Blocker_Transfer_Sec_Recipient_Transfer_Growth_Dep/Sim_number_79rep_4_BlockerPercent_90_24-08-19-00-41-44/step-00700.pickle,28,2643,1644,54,43460,0
C:/Users/helen/CellModeller/Examples/Data_No_Blocker_Transfer_Sec_Recipient_Transfer_Growth_Dep/Sim_number_7rep_1_BlockerPercent_30_24-08-17-23-58-43/step-00700.pickle,1426,17548,5542,12088,12619,0
C:/Users/helen/CellModeller/Examples/Data_No_Blocker_Transfer_Sec_Recipient_Transfer_Growth_Dep/Sim_number_80rep_4_BlockerPercent_95_24-08-19-00-55-07/step-00700.pickle,10,2538,310,91,44585,0
C:/Users/helen/CellModeller/Examples/Data_No_Blocker_Transfer_Sec_Recipient_Transfer_Growth_Dep/Sim_number_81rep_5_BlockerPercent_0_24-08-19-01-08-31/step-00700.pickle,2738,21617,4743,21760,0,0
C:/Users/helen/CellModeller/Examples/Data_No_Blocker_Transfer_Sec_Recipient_Transfer_Growth_Dep/Sim_number_82rep_5_BlockerPercent_5_24-08-19-01-22-55/step-00700.pickle,2313,23156,1934,20715,2129,0
C:/Users/helen/CellModeller/Examples/Data_No_Blocker_Transfer_Sec_Recipient_Transfer_Growth_Dep/Sim_number_83rep_5_BlockerPercent_10_24-08-19-01-37-24/step-00700.pickle,2210,20701,1364,21471,4578,0
