File Path,Recipient TransferEvents,final Donors,final Reciepients,final Transconjugants,final Blockers,final BlockerTransconjugants
C:/Users/helen/CellModeller/Examples/Data_No_Blocker_Transfer_Sec_Recipient_Transfer_No_Growth_Dep/Sim_number_42rep_3_BlockerPercent_5_24-08-17-00-07-46/step-00700.pickle,1166,24338,0,18870,4724,0
C:/Users/helen/CellModeller/Examples/Data_No_Blocker_Transfer_Sec_Recipient_Transfer_No_Growth_Dep/Sim_number_43rep_3_BlockerPercent_10_24-08-17-00-22-14/step-00700.pickle,1170,19588,0,22456,5908,0
C:/Users/helen/CellModeller/Examples/Data_No_Blocker_Transfer_Sec_Recipient_Transfer_No_Growth_Dep/Sim_number_44rep_3_BlockerPercent_15_24-08-17-00-36-38/step-00700.pickle,1106,16580,61,25203,5549,0
C:/Users/helen/CellModeller/Examples/Data_No_Blocker_Transfer_Sec_Recipient_Transfer_No_Growth_Dep/Sim_number_45rep_3_BlockerPercent_20_24-08-17-00-51-12/step-00700.pickle,1133,20411,0,18898,8722,0
C:/Users/helen/CellModeller/Examples/Data_No_Blocker_Transfer_Sec_Recipient_Transfer_No_Growth_Dep/Sim_number_46rep_3_BlockerPercent_25_24-08-17-01-05-36/step-00700.pickle,1513,20200,3,16607,10953,0
C:/Users/helen/CellModeller/Examples/Data_No_Blocker_Transfer_Sec_Recipient_Transfer_No_Growth_Dep/Sim_number_47rep_3_BlockerPercent_30_24-08-17-01-19-56/step-00700.pickle,1219,18375,28,16127,13592,0
C:/Users/helen/CellModeller/Examples/Data_No_Blocker_Transfer_Sec_Recipient_Transfer_No_Growth_Dep/Sim_number_48rep_3_BlockerPercent_35_24-08-17-01-34-11/step-00700.pickle,1144,13206,673,13295,20849,0
C:/Users/helen/CellModeller/Examples/Data_No_Blocker_Transfer_Sec_Recipient_Transfer_No_Growth_Dep/Sim_number_49rep_3_BlockerPercent_40_24-08-17-01-48-15/step-00700.pickle,973,15051,44,13481,18650,0
C:/Users/helen/CellModeller/Examples/Data_No_Blocker_Transfer_Sec_Recipient_Transfer_No_Growth_Dep/Sim_number_4rep_1_BlockerPercent_15_24-08-15-19-03-41/step-00700.pickle,1188,22138,0,16766,9288,0
C:/Users/helen/CellModeller/Examples/Data_No_Blocker_Transfer_Sec_Recipient_Transfer_No_Growth_Dep/Sim_number_50rep_3_BlockerPercent_45_24-08-17-02-02-34/step-00700.pickle,1051,11100,51,18938,17899,0
C:/Users/helen/CellModeller/Examples/Data_No_Blocker_Transfer_Sec_Recipient_Transfer_No_Growth_Dep/Sim_number_51rep_3_BlockerPercent_50_24-08-17-02-16-45/step-00700.pickle,1396,11363,200,10676,25537,0
C:/Users/helen/CellModeller/Examples/Data_No_Blocker_Transfer_Sec_Recipient_Transfer_No_Growth_Dep/Sim_number_52rep_3_BlockerPercent_55_24-08-17-02-30-44/step-00700.pickle,1458,11342,369,10081,25955,0
C:/Users/helen/CellModeller/Examples/Data_No_Blocker_Transfer_Sec_Recipient_Transfer_No_Growth_Dep/Sim_number_53rep_3_BlockerPercent_60_24-08-17-02-44-41/step-00700.pickle,1225,9262,3306,7540,28052,0
C:/Users/helen/CellModeller/Examples/Data_No_Blocker_Transfer_Sec_Recipient_Transfer_No_Growth_Dep/Sim_number_54rep_3_BlockerPercent_65_24-08-17-02-58-27/step-00700.pickle,863,9233,237,5510,32768,0
C:/Users/helen/CellModeller/Examples/Data_No_Blocker_Transfer_Sec_Recipient_Transfer_No_Growth_Dep/Sim_number_55rep_3_BlockerPercent_70_24-08-17-03-12-15/step-00700.pickle,1034,6363,2171,7575,31846,0
C:/Users/helen/CellModeller/Examples/Data_No_Blocker_Transfer_Sec_Recipient_Transfer_No_Growth_Dep/Sim_number_56rep_3_BlockerPercent_75_24-08-17-03-25-56/step-00700.pickle,548,5337,1264,6272,34997,0
C:/Users/helen/CellModeller/Examples/Data_No_Blocker_Transfer_Sec_Recipient_Transfer_No_Growth_Dep/Sim_number_57rep_3_BlockerPercent_80_24-08-17-03-39-34/step-00700.pickle,241,4832,1490,2622,39313,0
C:/Users/helen/CellModeller/Examples/Data_No_Blocker_Transfer_Sec_Recipient_Transfer_No_Growth_Dep/Sim_number_58rep_3_BlockerPercent_85_24-08-17-03-53-03/step-00700.pickle,137,5787,1345,1037,40243,0
C:/Users/helen/CellModeller/Examples/Data_No_Blocker_Transfer_Sec_Recipient_Transfer_No_Growth_Dep/Sim_number_59rep_3_BlockerPercent_90_24-08-17-04-06-28/step-00700.pickle,63,4151,1100,117,42724,0
C:/Users/helen/CellModeller/Examples/Data_No_Blocker_Transfer_Sec_Recipient_Transfer_No_Growth_Dep/Sim_number_5rep_1_BlockerPercent_20_24-08-15-19-17-41/step-00700.pickle,1113,17634,0,19474,10882,0
C:/Users/helen/CellModeller/Examples/Data_No_Blocker_Transfer_Sec_Recipient_Transfer_No_Growth_Dep/Sim_number_60rep_3_BlockerPercent_95_24-08-17-04-19-53/step-00700.pickle,138,2366,222,520,44931,0
C:/Users/helen/CellModeller/Examples/Data_No_Blocker_Transfer_Sec_Recipient_Transfer_No_Growth_Dep/Sim_number_61rep_4_BlockerPercent_0_24-08-17-04-33-15/step-00700.pickle,1247,18129,0,29784,0,0
C:/Users/helen/CellModeller/Examples/Data_No_Blocker_Transfer_Sec_Recipient_Transfer_No_Growth_Dep/Sim_number_62rep_4_BlockerPercent_5_24-08-17-04-47-55/step-00700.pickle,1187,23784,0,20288,3834,0
C:/Users/helen/CellModeller/Examples/Data_No_Blocker_Transfer_Sec_Recipient_Transfer_No_Growth_Dep/Sim_number_63rep_4_BlockerPercent_10_24-08-17-05-02-25/step-00700.pickle,1191,21326,0,23068,3308,0
C:/Users/helen/CellModeller/Examples/Data_No_Blocker_Transfer_Sec_Recipient_Transfer_No_Growth_Dep/Sim_number_64rep_4_BlockerPercent_15_24-08-17-05-16-56/step-00700.pickle,1130,22656,0,19769,5685,0
C:/Users/helen/CellModeller/Examples/Data_No_Blocker_Transfer_Sec_Recipient_Transfer_No_Growth_Dep/Sim_number_65rep_4_BlockerPercent_20_24-08-17-05-31-18/step-00700.pickle,1235,21209,0,19793,6916,0
C:/Users/helen/CellModeller/Examples/Data_No_Blocker_Transfer_Sec_Recipient_Transfer_No_Growth_Dep/Sim_number_66rep_4_BlockerPercent_25_24-08-17-05-45-39/step-00700.pickle,1075,17880,245,19578,10176,0
C:/Users/helen/CellModeller/Examples/Data_No_Blocker_Transfer_Sec_Recipient_Transfer_No_Growth_Dep/Sim_number_67rep_4_BlockerPercent_30_24-08-17-06-00-01/step-00700.pickle,1068,12177,8,15069,20549,0
C:/Users/helen/CellModeller/Examples/Data_No_Blocker_Transfer_Sec_Recipient_Transfer_No_Growth_Dep/Sim_number_68rep_4_BlockerPercent_35_24-08-17-06-14-08/step-00700.pickle,1116,15903,687,14466,16833,0
C:/Users/helen/CellModeller/Examples/Data_No_Blocker_Transfer_Sec_Recipient_Transfer_No_Growth_Dep/Sim_number_69rep_4_BlockerPercent_40_24-08-17-06-28-16/step-00700.pickle,1018,15882,21,13965,17975,0
C:/Users/helen/CellModeller/Examples/Data_No_Blocker_Transfer_Sec_Recipient_Transfer_No_Growth_Dep/Sim_number_6rep_1_BlockerPercent_25_24-08-15-19-31-41/step-00700.pickle,1126,16984,0,24783,5922,0
C:/Users/helen/CellModeller/Examples/Data_No_Blocker_Transfer_Sec_Recipient_Transfer_No_Growth_Dep/Sim_number_70rep_4_BlockerPercent_45_24-08-17-06-42-21/step-00700.pickle,1006,11137,62,18452,17846,0
C:/Users/helen/CellModeller/Examples/Data_No_Blocker_Transfer_Sec_Recipient_Transfer_No_Growth_Dep/Sim_number_71rep_4_BlockerPercent_50_24-08-17-06-56-31/step-00700.pickle,1788,9697,884,14137,23579,0
C:/Users/helen/CellModeller/Examples/Data_No_Blocker_Transfer_Sec_Recipient_Transfer_No_Growth_Dep/Sim_number_72rep_4_BlockerPercent_55_24-08-17-07-10-24/step-00700.pickle,968,8012,785,11657,27819,0
C:/Users/helen/CellModeller/Examples/Data_No_Blocker_Transfer_Sec_Recipient_Transfer_No_Growth_Dep/Sim_number_73rep_4_BlockerPercent_60_24-08-17-07-24-11/step-00700.pickle,802,11223,565,7868,28123,0
C:/Users/helen/CellModeller/Examples/Data_No_Blocker_Transfer_Sec_Recipient_Transfer_No_Growth_Dep/Sim_number_74rep_4_BlockerPercent_65_24-08-17-07-38-01/step-00700.pickle,625,11379,2635,6335,27933,0
C:/Users/helen/CellModeller/Examples/Data_No_Blocker_Transfer_Sec_Recipient_Transfer_No_Growth_Dep/Sim_number_75rep_4_BlockerPercent_70_24-08-17-07-51-40/step-00700.pickle,836,7231,2370,8138,30432,0
C:/Users/helen/CellModeller/Examples/Data_No_Blocker_Transfer_Sec_Recipient_Transfer_No_Growth_Dep/Sim_number_76rep_4_BlockerPercent_75_24-08-17-08-05-24/step-00700.pickle,516,3649,566,5238,38473,0
C:/Users/helen/CellModeller/Examples/Data_No_Blocker_Transfer_Sec_Recipient_Transfer_No_Growth_Dep/Sim_number_77rep_4_BlockerPercent_80_24-08-17-08-18-58/step-00700.pickle,571,3921,3038,1915,38540,0
