File Path,Number of Transfer Events,Number of Donors,Number of Reciepients,Number of Transconjugants,Number of Blockers
C:/Users/helen/CellModeller/Examples/Data_No_Blockertransfer_No_Growth_Dep/Sim_number_48rep_3_BlockerPercent_35_24-06-22-10-43-12/step-00700.pickle,766,16472,5226,11264,14987
C:/Users/helen/CellModeller/Examples/Data_No_Blockertransfer_No_Growth_Dep/Sim_number_49rep_3_BlockerPercent_40_24-06-22-11-13-58/step-00700.pickle,643,15995,5841,7022,19181
C:/Users/helen/CellModeller/Examples/Data_No_Blockertransfer_No_Growth_Dep/Sim_number_4rep_1_BlockerPercent_15_24-06-22-00-10-55/step-00700.pickle,1133,15255,9979,14293,8144
C:/Users/helen/CellModeller/Examples/Data_No_Blockertransfer_No_Growth_Dep/Sim_number_50rep_3_BlockerPercent_45_24-06-22-12-13-36/step-00700.pickle,576,12831,4382,6805,24152
C:/Users/helen/CellModeller/Examples/Data_No_Blockertransfer_No_Growth_Dep/Sim_number_51rep_3_BlockerPercent_50_24-06-22-12-27-16/step-00700.pickle,500,14780,7895,4662,20490
C:/Users/helen/CellModeller/Examples/Data_No_Blockertransfer_No_Growth_Dep/Sim_number_52rep_3_BlockerPercent_55_24-06-22-12-40-54/step-00700.pickle,433,13477,4016,4352,26089
C:/Users/helen/CellModeller/Examples/Data_No_Blockertransfer_No_Growth_Dep/Sim_number_53rep_3_BlockerPercent_60_24-06-22-12-54-30/step-00700.pickle,334,7727,4387,1979,33877
C:/Users/helen/CellModeller/Examples/Data_No_Blockertransfer_No_Growth_Dep/Sim_number_54rep_3_BlockerPercent_65_24-06-24-17-29-32/step-00700.pickle,279,10953,6050,3893,27098
C:/Users/helen/CellModeller/Examples/Data_No_Blockertransfer_No_Growth_Dep/Sim_number_55rep_3_BlockerPercent_70_24-06-24-17-42-49/step-00700.pickle,241,6444,6227,3031,32248
C:/Users/helen/CellModeller/Examples/Data_No_Blockertransfer_No_Growth_Dep/Sim_number_56rep_3_BlockerPercent_75_24-06-24-17-56-02/step-00700.pickle,160,4849,4610,2113,36285
C:/Users/helen/CellModeller/Examples/Data_No_Blockertransfer_No_Growth_Dep/Sim_number_57rep_3_BlockerPercent_80_24-06-24-18-09-21/step-00700.pickle,136,8977,5134,1496,32261
C:/Users/helen/CellModeller/Examples/Data_No_Blockertransfer_No_Growth_Dep/Sim_number_58rep_3_BlockerPercent_85_24-06-24-18-22-42/step-00700.pickle,71,4328,947,212,42225
C:/Users/helen/CellModeller/Examples/Data_No_Blockertransfer_No_Growth_Dep/Sim_number_59rep_3_BlockerPercent_90_24-06-24-18-35-55/step-00700.pickle,28,3194,2345,637,41805
C:/Users/helen/CellModeller/Examples/Data_No_Blockertransfer_No_Growth_Dep/Sim_number_5rep_1_BlockerPercent_20_24-06-22-00-24-46/step-00700.pickle,1005,21367,5583,14290,6830
C:/Users/helen/CellModeller/Examples/Data_No_Blockertransfer_No_Growth_Dep/Sim_number_60rep_3_BlockerPercent_95_24-06-24-19-40-31/step-00700.pickle,9,336,2321,34,45107
C:/Users/helen/CellModeller/Examples/Data_No_Blockertransfer_No_Growth_Dep/Sim_number_61rep_4_BlockerPercent_0_24-06-24-19-53-45/step-00700.pickle,1319,23719,3933,20378,0
C:/Users/helen/CellModeller/Examples/Data_No_Blockertransfer_No_Growth_Dep/Sim_number_62rep_4_BlockerPercent_5_24-06-24-20-11-45/step-00700.pickle,1239,23798,1806,20356,2000
C:/Users/helen/CellModeller/Examples/Data_No_Blockertransfer_No_Growth_Dep/Sim_number_63rep_4_BlockerPercent_10_24-06-24-20-25-48/step-00700.pickle,1192,20437,8387,14303,4843
C:/Users/helen/CellModeller/Examples/Data_No_Blockertransfer_No_Growth_Dep/Sim_number_64rep_4_BlockerPercent_15_24-06-24-20-39-37/step-00700.pickle,1101,20565,5134,14329,8111
C:/Users/helen/CellModeller/Examples/Data_No_Blockertransfer_No_Growth_Dep/Sim_number_65rep_4_BlockerPercent_20_24-06-24-20-53-14/step-00700.pickle,1016,19210,5248,9538,13583
C:/Users/helen/CellModeller/Examples/Data_No_Blockertransfer_No_Growth_Dep/Sim_number_66rep_4_BlockerPercent_25_24-06-24-21-27-36/step-00700.pickle,873,17296,8017,11674,10841
C:/Users/helen/CellModeller/Examples/Data_No_Blockertransfer_No_Growth_Dep/Sim_number_67rep_4_BlockerPercent_30_24-06-24-21-41-49/step-00700.pickle,876,20183,4538,12026,10888
C:/Users/helen/CellModeller/Examples/Data_No_Blockertransfer_No_Growth_Dep/Sim_number_68rep_4_BlockerPercent_35_24-06-24-21-56-02/step-00700.pickle,760,13743,6597,10019,17828
C:/Users/helen/CellModeller/Examples/Data_No_Blockertransfer_No_Growth_Dep/Sim_number_69rep_4_BlockerPercent_40_24-06-24-22-26-19/step-00700.pickle,659,14773,6757,8607,17750
C:/Users/helen/CellModeller/Examples/Data_No_Blockertransfer_No_Growth_Dep/Sim_number_6rep_1_BlockerPercent_25_24-06-22-00-38-48/step-00700.pickle,897,18218,4956,10564,14139
C:/Users/helen/CellModeller/Examples/Data_No_Blockertransfer_No_Growth_Dep/Sim_number_70rep_4_BlockerPercent_45_24-06-24-23-59-02/step-00700.pickle,577,12858,7442,8530,19123
C:/Users/helen/CellModeller/Examples/Data_No_Blockertransfer_No_Growth_Dep/Sim_number_71rep_4_BlockerPercent_50_24-06-25-01-10-38/step-00700.pickle,524,7858,9933,2268,27709
C:/Users/helen/CellModeller/Examples/Data_No_Blockertransfer_No_Growth_Dep/Sim_number_72rep_4_BlockerPercent_55_24-06-25-02-29-57/step-00700.pickle,498,9940,5725,5221,26413
C:/Users/helen/CellModeller/Examples/Data_No_Blockertransfer_No_Growth_Dep/Sim_number_73rep_4_BlockerPercent_60_24-06-25-03-33-31/step-00700.pickle,337,9397,4890,5100,28354
C:/Users/helen/CellModeller/Examples/Data_No_Blockertransfer_No_Growth_Dep/Sim_number_74rep_4_BlockerPercent_65_24-06-25-05-06-56/step-00700.pickle,274,10170,4471,1124,32210
C:/Users/helen/CellModeller/Examples/Data_No_Blockertransfer_No_Growth_Dep/Sim_number_75rep_4_BlockerPercent_70_24-06-25-06-12-24/step-00700.pickle,239,10583,2462,2356,32387
C:/Users/helen/CellModeller/Examples/Data_No_Blockertransfer_No_Growth_Dep/Sim_number_76rep_4_BlockerPercent_75_24-06-25-06-25-47/step-00700.pickle,168,5926,5036,2008,34575
C:/Users/helen/CellModeller/Examples/Data_No_Blockertransfer_No_Growth_Dep/Sim_number_77rep_4_BlockerPercent_80_24-06-25-07-30-05/step-00700.pickle,105,2120,3273,327,41940
C:/Users/helen/CellModeller/Examples/Data_No_Blockertransfer_No_Growth_Dep/Sim_number_78rep_4_BlockerPercent_85_24-06-25-11-41-02/step-00700.pickle,87,2461,4561,429,40124
C:/Users/helen/CellModeller/Examples/Data_No_Blockertransfer_No_Growth_Dep/Sim_number_79rep_4_BlockerPercent_90_24-06-25-11-54-13/step-00700.pickle,22,2353,748,75,44648
C:/Users/helen/CellModeller/Examples/Data_No_Blockertransfer_No_Growth_Dep/Sim_number_7rep_1_BlockerPercent_30_24-06-22-00-52-51/step-00700.pickle,837,17676,6186,12430,11534
C:/Users/helen/CellModeller/Examples/Data_No_Blockertransfer_No_Growth_Dep/Sim_number_80rep_4_BlockerPercent_95_24-06-25-12-07-25/step-00700.pickle,6,270,260,17,47482
C:/Users/helen/CellModeller/Examples/Data_No_Blockertransfer_No_Growth_Dep/Sim_number_81rep_5_BlockerPercent_0_24-06-25-12-50-28/step-00700.pickle,1284,19856,6251,22017,0
C:/Users/helen/CellModeller/Examples/Data_No_Blockertransfer_No_Growth_Dep/Sim_number_82rep_5_BlockerPercent_5_24-06-25-13-33-24/step-00700.pickle,1266,22095,5876,17842,1823
C:/Users/helen/CellModeller/Examples/Data_No_Blockertransfer_No_Growth_Dep/Sim_number_83rep_5_BlockerPercent_10_24-06-25-13-47-34/step-00700.pickle,1169,27676,3302,12545,4582
C:/Users/helen/CellModeller/Examples/Data_No_Blockertransfer_No_Growth_Dep/Sim_number_84rep_5_BlockerPercent_15_24-06-25-14-01-53/step-00700.pickle,1065,20429,5858,13912,7843
C:/Users/helen/CellModeller/Examples/Data_No_Blockertransfer_No_Growth_Dep/Sim_number_85rep_5_BlockerPercent_20_24-06-25-14-16-01/step-00700.pickle,1018,16726,6424,14368,10446
C:/Users/helen/CellModeller/Examples/Data_No_Blockertransfer_No_Growth_Dep/Sim_number_86rep_5_BlockerPercent_25_24-06-25-14-30-07/step-00700.pickle,961,18225,6281,11148,11915
C:/Users/helen/CellModeller/Examples/Data_No_Blockertransfer_No_Growth_Dep/Sim_number_87rep_5_BlockerPercent_30_24-06-25-14-44-23/step-00700.pickle,868,16168,7473,11130,13300
C:/Users/helen/CellModeller/Examples/Data_No_Blockertransfer_No_Growth_Dep/Sim_number_88rep_5_BlockerPercent_35_24-06-25-14-58-13/step-00700.pickle,767,15989,5982,14053,11658
C:/Users/helen/CellModeller/Examples/Data_No_Blockertransfer_No_Growth_Dep/Sim_number_89rep_5_BlockerPercent_40_24-06-25-15-11-55/step-00700.pickle,689,12961,9481,7889,17393
